ProcessRunning,SP,PV,Kp,Ki,Kd,Error,PError,Integral,Derivative,Output
1,30,23,180,0,80,7,7,7,7,1820
1,30,23,180,0,80,7,7,14,0,1260
1,30,24,180,0,80,6,6,20,-1,1000
1,30,25,180,0,80,5,5,25,-1,820
1,30,26,180,0,80,4,4,29,-1,640
1,30,28,180,0,80,2,2,31,-2,200
1,30,29,180,0,80,1,1,32,-1,100
1,30,31,180,0,80,-1,-1,31,-2,-340
1,30,34,180,0,80,-4,-4,27,-3,-960
1,30,36,180,0,80,-6,-6,21,-2,-1240
1,30,37,180,0,80,-7,-7,14,-1,-1340
1,30,38,180,0,80,-8,-8,6,-1,-1520
1,30,39,180,0,80,-9,-9,-3,-1,-1700
1,30,39,180,0,80,-9,-9,-12,0,-1620
1,30,40,180,0,80,-10,-10,-22,-1,-1880
1,30,40,180,0,80,-10,-10,-32,0,-1800
1,30,40,180,0,80,-10,-10,-42,0,-1800
1,30,40,180,0,80,-10,-10,-52,0,-1800
1,30,40,180,0,80,-10,-10,-62,0,-1800
1,30,40,180,0,80,-10,-10,-72,0,-1800
1,30,40,180,0,80,-10,-10,-82,0,-1800
1,30,40,180,0,80,-10,-10,-92,0,-1800
1,30,40,180,0,80,-10,-10,-102,0,-1800
1,30,40,180,0,80,-10,-10,-112,0,-1800
1,30,40,180,0,80,-10,-10,-122,0,-1800
1,30,40,180,0,80,-10,-10,-132,0,-1800
1,30,40,180,0,80,-10,-10,-142,0,-1800
1,30,39,180,0,80,-9,-9,-151,1,-1540
1,30,39,180,0,80,-9,-9,-160,0,-1620
1,30,39,180,0,80,-9,-9,-169,0,-1620
1,30,39,180,0,80,-9,-9,-178,0,-1620
1,30,39,180,0,80,-9,-9,-187,0,-1620
1,30,39,180,0,80,-9,-9,-196,0,-1620
1,30,39,180,0,80,-9,-9,-205,0,-1620
1,30,39,180,0,80,-9,-9,-214,0,-1620
1,30,38,180,0,80,-8,-8,-222,1,-1360
1,30,38,180,0,80,-8,-8,-230,0,-1440
1,30,38,180,0,80,-8,-8,-238,0,-1440
1,30,38,180,0,80,-8,-8,-246,0,-1440
1,30,38,180,0,80,-8,-8,-254,0,-1440
1,30,38,180,0,80,-8,-8,-262,0,-1440
1,30,38,180,0,80,-8,-8,-270,0,-1440
1,30,37,180,0,80,-7,-7,-277,1,-1180
1,30,37,180,0,80,-7,-7,-284,0,-1260
1,30,37,180,0,80,-7,-7,-291,0,-1260
1,30,37,180,0,80,-7,-7,-298,0,-1260
1,30,37,180,0,80,-7,-7,-305,0,-1260
1,30,37,180,0,80,-7,-7,-312,0,-1260
1,30,37,180,0,80,-7,-7,-319,0,-1260
1,30,36,180,0,80,-6,-6,-325,1,-1000
1,30,36,180,0,80,-6,-6,-331,0,-1080
1,30,36,180,0,80,-6,-6,-337,0,-1080
1,30,36,180,0,80,-6,-6,-343,0,-1080
1,30,36,180,0,80,-6,-6,-349,0,-1080
1,30,36,180,0,80,-6,-6,-355,0,-1080
1,30,36,180,0,80,-6,-6,-361,0,-1080
1,30,36,180,0,80,-6,-6,-367,0,-1080
1,30,35,180,0,80,-5,-5,-372,1,-820
1,30,35,180,0,80,-5,-5,-377,0,-900
1,30,35,180,0,80,-5,-5,-382,0,-900
1,30,35,180,0,80,-5,-5,-387,0,-900
1,30,35,180,0,80,-5,-5,-392,0,-900
1,40,35,180,0,80,5,5,-387,10,1700
1,40,35,180,0,80,5,5,-382,0,900
1,40,35,180,0,80,5,5,-377,0,900
