ProcessRunning,SP,PV,Kp,Ki,Kd,Error,PError,Integral,Derivative,Output
1,80,69,250,200,100,11,11,11,11,3850
1,80,68,250,200,100,12,12,23,1,3100
1,80,68,250,200,100,12,12,35,0,3000
1,80,69,250,200,100,11,11,46,-1,2650
1,80,70,250,200,100,10,10,56,-1,2400
1,80,71,250,200,100,9,9,65,-1,2150
1,80,73,250,200,100,7,7,72,-2,1550
1,80,75,250,200,100,5,5,77,-2,1050
1,80,77,250,200,100,3,3,80,-2,550
1,80,79,250,200,100,1,1,81,-2,50
1,80,81,250,200,100,-1,-1,80,-2,-450
1,80,83,250,200,100,-3,-3,77,-2,-950
1,80,86,250,200,100,-6,-6,71,-3,-1800
1,80,87,250,200,100,-7,-7,64,-1,-1850
1,80,88,250,200,100,-8,-8,56,-1,-2100
1,80,88,250,200,100,-8,-8,48,0,-2000
1,80,89,250,200,100,-9,-9,39,-1,-2350
1,80,89,250,200,100,-9,-9,30,0,-2250
1,80,88,250,200,100,-8,-8,22,1,-1900
1,80,88,250,200,100,-8,-8,14,0,-2000
1,80,88,250,200,100,-8,-8,6,0,-2000
1,80,87,250,200,100,-7,-7,-1,1,-1650
1,80,87,250,200,100,-7,-7,-8,0,-1750
1,80,87,250,200,100,-7,-7,-15,0,-1750
1,80,86,250,200,100,-6,-6,-21,1,-1400
1,80,86,250,200,100,-6,-6,-27,0,-1500
1,80,85,250,200,100,-5,-5,-32,1,-1150
1,80,85,250,200,100,-5,-5,-37,0,-1250
1,80,85,250,200,100,-5,-5,-42,0,-1250
1,80,84,250,200,100,-4,-4,-46,1,-900
1,80,83,250,200,100,-3,-3,-49,1,-650
1,80,83,250,200,100,-3,-3,-52,0,-750
1,80,83,250,200,100,-3,-3,-55,0,-750
1,80,82,250,200,100,-2,-2,-57,1,-400
1,80,82,250,200,100,-2,-2,-59,0,-500
1,80,81,250,200,100,-1,-1,-60,1,-150
1,80,80,250,200,100,0,0,-60,1,100
1,80,80,250,200,100,0,0,-60,0,0
1,80,80,250,200,100,0,0,-60,0,0
1,80,80,250,200,100,0,0,-60,0,0
1,80,80,250,200,100,0,0,-60,0,0
1,80,80,250,200,100,0,0,-60,0,0
1,80,80,250,200,100,0,0,-60,0,0
1,80,79,250,200,100,1,1,-59,1,350
1,80,79,250,200,100,1,1,-58,0,250
1,80,79,250,200,100,1,1,-57,0,250
1,80,79,250,200,100,1,1,-56,0,250
1,80,80,250,200,100,0,0,-56,-1,-100
1,80,82,250,200,100,-2,-2,-58,-2,-700
1,80,83,250,200,100,-3,-3,-61,-1,-850
1,80,84,250,200,100,-4,-4,-65,-1,-1100
1,80,85,250,200,100,-5,-5,-70,-1,-1350
1,80,85,250,200,100,-5,-5,-75,0,-1250
1,80,85,250,200,100,-5,-5,-80,0,-1250
1,80,85,250,200,100,-5,-5,-85,0,-1250
1,80,85,250,200,100,-5,-5,-90,0,-1250
1,80,84,250,200,100,-4,-4,-94,1,-900
1,80,84,250,200,100,-4,-4,-98,0,-1000
1,80,83,250,200,100,-3,-3,-101,1,-650
1,80,83,250,200,100,-3,-3,-104,0,-750
1,80,83,250,200,100,-3,-3,-107,0,-750
1,80,82,250,200,100,-2,-2,-109,1,-400
1,90,82,250,200,100,8,8,-101,10,3000
1,90,81,250,200,100,9,9,-92,1,2350
1,90,81,250,200,100,9,9,-83,0,2250
1,90,81,250,200,100,9,9,-74,0,2250
1,90,83,250,200,100,7,7,-67,-2,1550
1,90,84,250,200,100,6,6,-61,-1,1400
1,90,86,250,200,100,4,4,-57,-2,800
1,90,87,250,200,100,3,3,-54,-1,650
1,90,89,250,200,100,1,1,-53,-2,50
1,90,92,250,200,100,-2,-2,-55,-3,-800
1,90,94,250,200,100,-4,-4,-59,-2,-1200
1,90,95,250,200,100,-5,-5,-64,-1,-1350
1,90,96,250,200,100,-6,-6,-70,-1,-1600
1,90,98,250,200,100,-8,-8,-78,-2,-2200
1,90,98,250,200,100,-8,-8,-86,0,-2000
1,90,98,250,200,100,-8,-8,-94,0,-2000
1,90,98,250,200,100,-8,-8,-102,0,-2000
1,90,97,250,200,100,-7,-7,-109,1,-1650
1,90,97,250,200,100,-7,-7,-116,0,-1750
1,90,97,250,200,100,-7,-7,-123,0,-1750
