ProcessRunning,SP,PV,Kp,Ki,Kd,Error,PError,Integral,Derivative,Output
1,40,34,200,100,200,6,6,6,6,2400
1,40,34,200,100,200,6,6,12,0,1200
1,40,34,200,100,200,6,6,18,0,1200
1,40,35,200,100,200,5,5,23,-1,800
1,40,36,200,100,200,4,4,27,-1,600
1,40,37,200,100,200,3,3,30,-1,400
1,40,40,200,100,200,0,0,30,-3,-600
1,40,42,200,100,200,-2,-2,28,-2,-800
1,40,43,200,100,200,-3,-3,25,-1,-800
1,40,45,200,100,200,-5,-5,20,-2,-1400
1,40,46,200,100,200,-6,-6,14,-1,-1400
1,40,46,200,100,200,-6,-6,8,0,-1200
1,40,47,200,100,200,-7,-7,1,-1,-1600
1,40,47,200,100,200,-7,-7,-6,0,-1400
1,40,47,200,100,200,-7,-7,-13,0,-1400
1,40,48,200,100,200,-8,-8,-21,-1,-1800
1,40,48,200,100,200,-8,-8,-29,0,-1600
1,40,48,200,100,200,-8,-8,-37,0,-1600
1,40,48,200,100,200,-8,-8,-45,0,-1600
1,40,48,200,100,200,-8,-8,-53,0,-1600
1,40,48,200,100,200,-8,-8,-61,0,-1600
1,40,47,200,100,200,-7,-7,-68,1,-1200
1,40,47,200,100,200,-7,-7,-75,0,-1400
1,40,47,200,100,200,-7,-7,-82,0,-1400
1,40,47,200,100,200,-7,-7,-89,0,-1400
1,40,47,200,100,200,-7,-7,-96,0,-1400
1,40,47,200,100,200,-7,-7,-103,0,-1401
1,40,47,200,100,200,-7,-7,-110,0,-1401
1,40,47,200,100,200,-7,-7,-117,0,-1401
1,40,47,200,100,200,-7,-7,-124,0,-1401
1,40,47,200,100,200,-7,-7,-131,0,-1401
1,40,46,200,100,200,-6,-6,-137,1,-1001
1,40,46,200,100,200,-6,-6,-143,0,-1201
1,40,46,200,100,200,-6,-6,-149,0,-1201
1,40,46,200,100,200,-6,-6,-155,0,-1201
1,40,46,200,100,200,-6,-6,-161,0,-1201
1,40,46,200,100,200,-6,-6,-167,0,-1201
1,40,45,200,100,200,-5,-5,-172,1,-801
1,40,45,200,100,200,-5,-5,-177,0,-1001
1,40,45,200,100,200,-5,-5,-182,0,-1001
1,40,45,200,100,200,-5,-5,-187,0,-1001
1,40,45,200,100,200,-5,-5,-192,0,-1001
1,40,45,200,100,200,-5,-5,-197,0,-1001
1,40,45,200,100,200,-5,-5,-202,0,-1002
1,40,44,200,100,200,-4,-4,-206,1,-602
1,40,44,200,100,200,-4,-4,-210,0,-802
1,40,44,200,100,200,-4,-4,-214,0,-802
1,40,44,200,100,200,-4,-4,-218,0,-802
1,40,44,200,100,200,-4,-4,-222,0,-802
1,40,44,200,100,200,-4,-4,-226,0,-802
1,40,44,200,100,200,-4,-4,-230,0,-802
1,40,43,200,100,200,-3,-3,-233,1,-402
1,40,43,200,100,200,-3,-3,-236,0,-602
1,40,43,200,100,200,-3,-3,-239,0,-602
1,40,43,200,100,200,-3,-3,-242,0,-602
1,40,43,200,100,200,-3,-3,-245,0,-602
1,40,43,200,100,200,-3,-3,-248,0,-602
1,40,42,200,100,200,-2,-2,-250,1,-202
1,40,42,200,100,200,-2,-2,-252,0,-402
1,40,42,200,100,200,-2,-2,-254,0,-402
1,40,42,200,100,200,-2,-2,-256,0,-402
1,40,42,200,100,200,-2,-2,-258,0,-402
1,50,42,200,100,200,8,8,-250,10,3598
1,50,42,200,100,200,8,8,-242,0,1598
1,50,42,200,100,200,8,8,-234,0,1598
1,50,43,200,100,200,7,7,-227,-1,1198
1,50,44,200,100,200,6,6,-221,-1,998
1,50,45,200,100,200,5,5,-216,-1,798
1,50,47,200,100,200,3,3,-213,-2,198
1,50,49,200,100,200,1,1,-212,-2,-202
1,50,51,200,100,200,-1,-1,-213,-2,-602
1,50,53,200,100,200,-3,-3,-216,-2,-1002
1,50,54,200,100,200,-4,-4,-220,-1,-1002
1,50,55,200,100,200,-5,-5,-225,-1,-1202
1,50,56,200,100,200,-6,-6,-231,-1,-1402
1,50,56,200,100,200,-6,-6,-237,0,-1202
1,50,56,200,100,200,-6,-6,-243,0,-1202
1,50,56,200,100,200,-6,-6,-249,0,-1202
1,50,57,200,100,200,-7,-7,-256,-1,-1602
1,50,57,200,100,200,-7,-7,-263,0,-1402
1,50,56,200,100,200,-6,-6,-269,1,-1002
1,50,56,200,100,200,-6,-6,-275,0,-1202
1,50,56,200,100,200,-6,-6,-281,0,-1202
1,50,56,200,100,200,-6,-6,-287,0,-1202
1,50,56,200,100,200,-6,-6,-293,0,-1202
1,50,56,200,100,200,-6,-6,-299,0,-1202
1,50,56,200,100,200,-6,-6,-305,0,-1203
1,50,55,200,100,200,-5,-5,-310,1,-803
1,50,55,200,100,200,-5,-5,-315,0,-1003
1,50,55,200,100,200,-5,-5,-320,0,-1003
1,50,55,200,100,200,-5,-5,-325,0,-1003
1,50,55,200,100,200,-5,-5,-330,0,-1003
1,50,54,200,100,200,-4,-4,-334,1,-603
1,50,54,200,100,200,-4,-4,-338,0,-803
1,50,54,200,100,200,-4,-4,-342,0,-803
1,50,54,200,100,200,-4,-4,-346,0,-803
1,50,53,200,100,200,-3,-3,-349,1,-403
1,50,53,200,100,200,-3,-3,-352,0,-603
1,50,53,200,100,200,-3,-3,-355,0,-603
1,50,53,200,100,200,-3,-3,-358,0,-603
1,50,52,200,100,200,-2,-2,-360,1,-203
1,50,52,200,100,200,-2,-2,-362,0,-403
1,50,52,200,100,200,-2,-2,-364,0,-403
1,50,52,200,100,200,-2,-2,-366,0,-403
1,50,52,200,100,200,-2,-2,-368,0,-403
1,50,51,200,100,200,-1,-1,-369,1,-3
1,50,51,200,100,200,-1,-1,-370,0,-203
1,50,51,200,100,200,-1,-1,-371,0,-203
1,50,51,200,100,200,-1,-1,-372,0,-203
1,50,50,200,100,200,0,0,-372,1,197
1,50,50,200,100,200,0,0,-372,0,-3
1,50,50,200,100,200,0,0,-372,0,-3
1,50,50,200,100,200,0,0,-372,0,-3
1,50,51,200,100,200,-1,-1,-373,-1,-403
1,50,51,200,100,200,-1,-1,-374,0,-203
1,50,51,200,100,200,-1,-1,-375,0,-203
1,50,51,200,100,200,-1,-1,-376,0,-203
1,50,51,200,100,200,-1,-1,-377,0,-203
1,50,51,200,100,200,-1,-1,-378,0,-203
1,50,50,200,100,200,0,0,-378,1,197
1,50,50,200,100,200,0,0,-378,0,-3
1,50,50,200,100,200,0,0,-378,0,-3
1,50,51,200,100,200,-1,-1,-379,-1,-403
1,50,51,200,100,200,-1,-1,-380,0,-203
1,60,51,200,100,200,9,9,-371,10,3797
1,60,51,200,100,200,9,9,-362,0,1797
1,60,51,200,100,200,9,9,-353,0,1797
