ProcessRunning,SP,PV,Kp,Ki,Kd,Error,PError,Integral,Derivative,Output
1,125,62,15,100,0,63,63,6300,63,945
1,125,62,15,100,0,63,63,12600,0,945
1,125,62,15,100,0,63,63,18900,0,945
1,125,63,15,100,0,62,62,25100,-1,930
1,125,64,15,100,0,61,61,31200,-1,915
1,125,66,15,100,0,59,59,37100,-2,885
1,125,68,15,100,0,57,57,42800,-2,855
1,125,70,15,100,0,55,55,48300,-2,825
1,125,73,15,100,0,52,52,53500,-3,780
1,125,76,15,100,0,49,49,58400,-3,735
1,125,79,15,100,0,46,46,63000,-3,690
1,125,81,15,100,0,44,44,67400,-2,660
1,125,84,15,100,0,41,41,71500,-3,615
1,125,86,15,100,0,39,39,75400,-2,585
1,125,90,15,100,0,35,35,78900,-4,525
1,125,92,15,100,0,33,33,82200,-2,495
1,125,95,15,100,0,30,30,85200,-3,450
1,125,97,15,100,0,28,28,88000,-2,420
1,125,101,15,100,0,24,24,90400,-4,360
1,125,104,15,100,0,21,21,92500,-3,315
1,125,106,15,100,0,19,19,94400,-2,285
1,125,108,15,100,0,17,17,96100,-2,255
1,125,111,15,100,0,14,14,97500,-3,210
1,125,114,15,100,0,11,11,98600,-3,165
1,125,117,15,100,0,8,8,99400,-3,120
1,125,119,15,100,0,6,6,100000,-2,90
1,125,121,15,100,0,4,4,100400,-2,60
1,125,124,15,100,0,1,1,100500,-3,15
1,125,126,15,100,0,-1,-1,100400,-2,-15
1,125,129,15,100,0,-4,-4,100000,-3,-60
1,125,131,15,100,0,-6,-6,99400,-2,-90
1,125,132,15,100,0,-7,-7,98700,-1,-105
1,125,133,15,100,0,-8,-8,97900,-1,-120
1,125,134,15,100,0,-9,-9,97000,-1,-135
1,125,134,15,100,0,-9,-9,96100,0,-135
1,125,133,15,100,0,-8,-8,95300,1,-120
1,125,133,15,100,0,-8,-8,94500,0,-120
1,125,132,15,100,0,-7,-7,93800,1,-105
1,125,132,15,100,0,-7,-7,93100,0,-105
1,125,131,15,100,0,-6,-6,92500,1,-90
1,125,130,15,100,0,-5,-5,92000,1,-75
1,125,129,15,100,0,-4,-4,91600,1,-60
1,125,128,15,100,0,-3,-3,91300,1,-45
1,125,127,15,100,0,-2,-2,91100,1,-30
1,125,127,15,100,0,-2,-2,90900,0,-30
1,125,125,15,100,0,0,0,90900,2,0
1,125,125,15,100,0,0,0,90900,0,0
1,125,124,15,100,0,1,1,91000,1,15
1,125,123,15,100,0,2,2,91200,1,30
1,125,122,15,100,0,3,3,91500,1,45
1,125,122,15,100,0,3,3,91800,0,45
1,125,123,15,100,0,2,2,92000,-1,30
1,125,124,15,100,0,1,1,92100,-1,15
1,125,125,15,100,0,0,0,92100,-1,0
1,125,127,15,100,0,-2,-2,91900,-2,-30
1,125,129,15,100,0,-4,-4,91500,-2,-60
1,125,130,15,100,0,-5,-5,91000,-1,-75
1,125,130,15,100,0,-5,-5,90500,0,-75
1,125,130,15,100,0,-5,-5,90000,0,-75
1,125,130,15,100,0,-5,-5,89500,0,-75
1,125,130,15,100,0,-5,-5,89000,0,-75
1,125,129,15,100,0,-4,-4,88600,1,-60
1,125,128,15,100,0,-3,-3,88300,1,-45
1,125,128,15,100,0,-3,-3,88000,0,-45
1,125,127,15,100,0,-2,-2,87800,1,-30
1,125,126,15,100,0,-1,-1,87700,1,-15
1,125,125,15,100,0,0,0,87700,1,0
1,125,124,15,100,0,1,1,87800,1,15
1,125,123,15,100,0,2,2,88000,1,30
1,125,123,15,100,0,2,2,88200,0,30
1,125,123,15,100,0,2,2,88400,0,30
1,125,123,15,100,0,2,2,88600,0,30
1,125,124,15,100,0,1,1,88700,-1,15
1,125,126,15,100,0,-1,-1,88600,-2,-15
1,125,128,15,100,0,-3,-3,88300,-2,-45
1,125,129,15,100,0,-4,-4,87900,-1,-60
1,125,130,15,100,0,-5,-5,87400,-1,-75
1,125,131,15,100,0,-6,-6,86800,-1,-90
1,125,131,15,100,0,-6,-6,86200,0,-90
1,125,131,15,100,0,-6,-6,85600,0,-90
1,125,130,15,100,0,-5,-5,85100,1,-75
1,125,130,15,100,0,-5,-5,84600,0,-75
1,125,129,15,100,0,-4,-4,84200,1,-60
1,125,128,15,100,0,-3,-3,83900,1,-45
1,125,127,15,100,0,-2,-2,83700,1,-30
1,125,127,15,100,0,-2,-2,83500,0,-30
1,125,126,15,100,0,-1,-1,83400,1,-15
1,125,125,15,100,0,0,0,83400,1,0
1,125,124,15,100,0,1,1,83500,1,15
1,125,123,15,100,0,2,2,83700,1,30
1,125,123,15,100,0,2,2,83900,0,30
1,125,123,15,100,0,2,2,84100,0,30
1,125,123,15,100,0,2,2,84300,0,30
1,125,124,15,100,0,1,1,84400,-1,15
1,125,126,15,100,0,-1,-1,84300,-2,-15
1,125,128,15,100,0,-3,-3,84000,-2,-45
1,125,129,15,100,0,-4,-4,83600,-1,-60
1,125,130,15,100,0,-5,-5,83100,-1,-75
1,125,131,15,100,0,-6,-6,82500,-1,-90
1,125,131,15,100,0,-6,-6,81900,0,-90
1,125,130,15,100,0,-5,-5,81400,1,-75
1,125,130,15,100,0,-5,-5,80900,0,-75
1,125,129,15,100,0,-4,-4,80500,1,-60
1,125,129,15,100,0,-4,-4,80100,0,-60
1,125,128,15,100,0,-3,-3,79800,1,-45
1,125,127,15,100,0,-2,-2,79600,1,-30
1,125,126,15,100,0,-1,-1,79500,1,-15
1,125,125,15,100,0,0,0,79500,1,0
1,125,125,15,100,0,0,0,79500,0,0
1,125,124,15,100,0,1,1,79600,1,15
1,125,123,15,100,0,2,2,79800,1,30
1,125,122,15,100,0,3,3,80100,1,45
1,125,122,15,100,0,3,3,80400,0,45
1,125,123,15,100,0,2,2,80600,-1,30
1,125,124,15,100,0,1,1,80700,-1,15
1,125,125,15,100,0,0,0,80700,-1,0
1,125,127,15,100,0,-2,-2,80500,-2,-30
1,125,129,15,100,0,-4,-4,80100,-2,-60
1,125,130,15,100,0,-5,-5,79600,-1,-75
1,125,130,15,100,0,-5,-5,79100,0,-75
1,125,130,15,100,0,-5,-5,78600,0,-75
1,125,130,15,100,0,-5,-5,78100,0,-75
1,125,130,15,100,0,-5,-5,77600,0,-75
1,125,129,15,100,0,-4,-4,77200,1,-60
1,125,128,15,100,0,-3,-3,76900,1,-45
1,125,128,15,100,0,-3,-3,76600,0,-45
1,125,127,15,100,0,-2,-2,76400,1,-30
1,125,126,15,100,0,-1,-1,76300,1,-15
1,125,125,15,100,0,0,0,76300,1,0
1,125,124,15,100,0,1,1,76400,1,15
1,125,123,15,100,0,2,2,76600,1,30
1,125,123,15,100,0,2,2,76800,0,30
1,125,123,15,100,0,2,2,77000,0,30
1,125,123,15,100,0,2,2,77200,0,30
1,125,124,15,100,0,1,1,77300,-1,15
1,125,126,15,100,0,-1,-1,77200,-2,-15
1,125,128,15,100,0,-3,-3,76900,-2,-45
1,125,130,15,100,0,-5,-5,76400,-2,-75
1,125,130,15,100,0,-5,-5,75900,0,-75
1,125,131,15,100,0,-6,-6,75300,-1,-90
1,125,131,15,100,0,-6,-6,74700,0,-90
1,125,131,15,100,0,-6,-6,74100,0,-90
1,125,130,15,100,0,-5,-5,73600,1,-75
1,125,130,15,100,0,-5,-5,73100,0,-75
1,125,129,15,100,0,-4,-4,72700,1,-60
1,125,128,15,100,0,-3,-3,72400,1,-45
1,125,127,15,100,0,-2,-2,72200,1,-30
1,125,127,15,100,0,-2,-2,72000,0,-30
1,125,126,15,100,0,-1,-1,71900,1,-15
1,125,125,15,100,0,0,0,71900,1,0
1,125,124,15,100,0,1,1,72000,1,15
1,125,123,15,100,0,2,2,72200,1,30
1,125,122,15,100,0,3,3,72500,1,45
1,125,122,15,100,0,3,3,72800,0,45
1,125,123,15,100,0,2,2,73000,-1,30
1,125,124,15,100,0,1,1,73100,-1,15
1,125,126,15,100,0,-1,-1,73000,-2,-15
1,125,127,15,100,0,-2,-2,72800,-1,-30
1,125,129,15,100,0,-4,-4,72400,-2,-60
1,125,130,15,100,0,-5,-5,71900,-1,-75
1,125,131,15,100,0,-6,-6,71300,-1,-90
1,125,131,15,100,0,-6,-6,70700,0,-90
1,125,130,15,100,0,-5,-5,70200,1,-75
1,125,130,15,100,0,-5,-5,69700,0,-75
1,125,129,15,100,0,-4,-4,69300,1,-60
