ProcessRunning,SP,PV,Kp,Ki,Kd,Error,PError,Integral,Derivative,Output
1,125,23,30,2,150,102,102,10200,102,18360
1,125,23,30,2,150,102,102,20400,0,3060
1,125,23,30,2,150,102,102,30600,0,3060
1,125,24,30,2,150,101,101,40700,-1,2880
1,125,25,30,2,150,100,100,50700,-1,2850
1,125,27,30,2,150,98,98,60500,-2,2640
1,125,29,30,2,150,96,96,70100,-2,2580
1,125,31,30,2,150,94,94,79500,-2,2520
1,125,33,30,2,150,92,92,88700,-2,2460
1,125,35,30,2,150,90,90,97700,-2,2400
1,125,39,30,2,150,86,86,106300,-4,1980
1,125,41,30,2,150,84,84,114700,-2,2220
1,125,43,30,2,150,82,82,122900,-2,2160
1,125,46,30,2,150,79,79,130800,-3,1920
1,125,50,30,2,150,75,75,138300,-4,1650
1,125,52,30,2,150,73,73,145600,-2,1890
1,125,55,30,2,150,70,70,152600,-3,1650
1,125,58,30,2,150,67,67,159300,-3,1560
1,125,60,30,2,150,65,65,165800,-2,1650
1,125,64,30,2,150,61,61,171900,-4,1230
1,125,67,30,2,150,58,58,177700,-3,1290
1,125,69,30,2,150,56,56,183300,-2,1380
1,125,72,30,2,150,53,53,188600,-3,1140
1,125,76,30,2,150,49,49,193500,-4,870
1,125,79,30,2,150,46,46,198100,-3,930
1,125,81,30,2,150,44,44,202500,-2,1020
1,125,84,30,2,150,41,41,206600,-3,780
1,125,86,30,2,150,39,39,210500,-2,870
1,125,90,30,2,150,35,35,214000,-4,450
1,125,93,30,2,150,32,32,217200,-3,510
1,125,95,30,2,150,30,30,220200,-2,600
1,125,98,30,2,150,27,27,222900,-3,360
1,125,101,30,2,150,24,24,225300,-3,270
1,125,104,30,2,150,21,21,227400,-3,180
1,125,106,30,2,150,19,19,229300,-2,270
1,125,108,30,2,150,17,17,231000,-2,210
1,125,111,30,2,150,14,14,232400,-3,-30
1,125,114,30,2,150,11,11,233500,-3,-120
1,125,117,30,2,150,8,8,234300,-3,-210
1,125,118,30,2,150,7,7,235000,-1,60
1,125,120,30,2,150,5,5,235500,-2,-150
1,125,121,30,2,150,4,4,235900,-1,-30
1,125,122,30,2,150,3,3,236200,-1,-60
1,125,123,30,2,150,2,2,236400,-1,-90
1,125,124,30,2,150,1,1,236500,-1,-120
1,125,124,30,2,150,1,1,236600,0,30
1,125,124,30,2,150,1,1,236700,0,30
1,125,124,30,2,150,1,1,236800,0,30
1,125,124,30,2,150,1,1,236900,0,30
1,125,125,30,2,150,0,0,236900,-1,-150
1,125,127,30,2,150,-2,-2,236700,-2,-360
1,125,128,30,2,150,-3,-3,236400,-1,-240
1,125,129,30,2,150,-4,-4,236000,-1,-270
1,125,129,30,2,150,-4,-4,235600,0,-120
1,125,129,30,2,150,-4,-4,235200,0,-120
1,125,130,30,2,150,-5,-5,234700,-1,-300
1,125,129,30,2,150,-4,-4,234300,1,30
1,125,129,30,2,150,-4,-4,233900,0,-120
1,125,129,30,2,150,-4,-4,233500,0,-120
1,125,129,30,2,150,-4,-4,233100,0,-120
1,125,129,30,2,150,-4,-4,232700,0,-120
1,125,129,30,2,150,-4,-4,232300,0,-120
1,125,128,30,2,150,-3,-3,232000,1,60
1,125,128,30,2,150,-3,-3,231700,0,-90
1,125,127,30,2,150,-2,-2,231500,1,90
1,125,127,30,2,150,-2,-2,231300,0,-60
1,125,127,30,2,150,-2,-2,231100,0,-60
1,125,127,30,2,150,-2,-2,230900,0,-60
1,125,127,30,2,150,-2,-2,230700,0,-60
1,125,127,30,2,150,-2,-2,230500,0,-60
1,125,127,30,2,150,-2,-2,230300,0,-60
1,125,126,30,2,150,-1,-1,230200,1,120
1,125,126,30,2,150,-1,-1,230100,0,-30
1,125,125,30,2,150,0,0,230100,1,150
1,125,125,30,2,150,0,0,230100,0,0
1,125,125,30,2,150,0,0,230100,0,0
1,125,125,30,2,150,0,0,230100,0,0
1,125,125,30,2,150,0,0,230100,0,0
1,125,125,30,2,150,0,0,230100,0,0
1,125,125,30,2,150,0,0,230100,0,0
1,125,124,30,2,150,1,1,230200,1,180
1,125,124,30,2,150,1,1,230300,0,30
1,125,124,30,2,150,1,1,230400,0,30
1,125,124,30,2,150,1,1,230500,0,30
1,125,124,30,2,150,1,1,230600,0,30
1,125,125,30,2,150,0,0,230600,-1,-150
1,125,125,30,2,150,0,0,230600,0,0
1,125,127,30,2,150,-2,-2,230400,-2,-360
1,125,128,30,2,150,-3,-3,230100,-1,-240
1,125,128,30,2,150,-3,-3,229800,0,-90
1,125,128,30,2,150,-3,-3,229500,0,-90
1,125,128,30,2,150,-3,-3,229200,0,-90
1,125,128,30,2,150,-3,-3,228900,0,-90
1,125,128,30,2,150,-3,-3,228600,0,-90
1,125,127,30,2,150,-2,-2,228400,1,90
1,125,127,30,2,150,-2,-2,228200,0,-60
1,125,126,30,2,150,-1,-1,228100,1,120
1,125,126,30,2,150,-1,-1,228000,0,-30
1,125,126,30,2,150,-1,-1,227900,0,-30
1,125,126,30,2,150,-1,-1,227800,0,-30
1,125,126,30,2,150,-1,-1,227700,0,-30
1,125,126,30,2,150,-1,-1,227600,0,-30
1,125,126,30,2,150,-1,-1,227500,0,-30
1,125,125,30,2,150,0,0,227500,1,150
1,125,125,30,2,150,0,0,227500,0,0
1,125,124,30,2,150,1,1,227600,1,180
1,125,124,30,2,150,1,1,227700,0,30
1,125,124,30,2,150,1,1,227800,0,30
1,125,124,30,2,150,1,1,227900,0,30
1,125,125,30,2,150,0,0,227900,-1,-150
1,125,126,30,2,150,-1,-1,227800,-1,-180
1,125,127,30,2,150,-2,-2,227600,-1,-210
1,125,128,30,2,150,-3,-3,227300,-1,-240
1,125,128,30,2,150,-3,-3,227000,0,-90
1,125,128,30,2,150,-3,-3,226700,0,-90
1,125,128,30,2,150,-3,-3,226400,0,-90
1,125,128,30,2,150,-3,-3,226100,0,-90
1,125,128,30,2,150,-3,-3,225800,0,-90
1,125,127,30,2,150,-2,-2,225600,1,90
1,125,127,30,2,150,-2,-2,225400,0,-60
1,125,126,30,2,150,-1,-1,225300,1,120
1,125,126,30,2,150,-1,-1,225200,0,-30
1,125,126,30,2,150,-1,-1,225100,0,-30
1,125,126,30,2,150,-1,-1,225000,0,-30
1,125,126,30,2,150,-1,-1,224900,0,-30
1,125,126,30,2,150,-1,-1,224800,0,-30
1,125,126,30,2,150,-1,-1,224700,0,-30
1,125,125,30,2,150,0,0,224700,1,150
1,125,124,30,2,150,1,1,224800,1,180
1,125,124,30,2,150,1,1,224900,0,30
1,125,124,30,2,150,1,1,225000,0,30
1,125,124,30,2,150,1,1,225100,0,30
1,125,125,30,2,150,0,0,225100,-1,-150
1,125,126,30,2,150,-1,-1,225000,-1,-180
1,125,127,30,2,150,-2,-2,224800,-1,-210
1,125,128,30,2,150,-3,-3,224500,-1,-240
1,125,129,30,2,150,-4,-4,224100,-1,-270
1,125,129,30,2,150,-4,-4,223700,0,-120
1,125,129,30,2,150,-4,-4,223300,0,-120
1,125,129,30,2,150,-4,-4,222900,0,-120
1,125,129,30,2,150,-4,-4,222500,0,-120
1,125,128,30,2,150,-3,-3,222200,1,60
1,125,127,30,2,150,-2,-2,222000,1,90
1,125,127,30,2,150,-2,-2,221800,0,-60
1,125,127,30,2,150,-2,-2,221600,0,-60
1,125,127,30,2,150,-2,-2,221400,0,-60
1,125,127,30,2,150,-2,-2,221200,0,-60
1,125,127,30,2,150,-2,-2,221000,0,-60
1,125,127,30,2,150,-2,-2,220800,0,-60
1,125,127,30,2,150,-2,-2,220600,0,-60
1,125,126,30,2,150,-1,-1,220500,1,120
1,125,126,30,2,150,-1,-1,220400,0,-30
1,125,125,30,2,150,0,0,220400,1,150
1,125,125,30,2,150,0,0,220400,0,0
1,125,125,30,2,150,0,0,220400,0,0
1,125,125,30,2,150,0,0,220400,0,0
1,125,125,30,2,150,0,0,220400,0,0
1,125,125,30,2,150,0,0,220400,0,0
1,125,125,30,2,150,0,0,220400,0,0
1,125,124,30,2,150,1,1,220500,1,180
1,125,124,30,2,150,1,1,220600,0,30
1,125,123,30,2,150,2,2,220800,1,210
1,125,123,30,2,150,2,2,221000,0,60
1,125,124,30,2,150,1,1,221100,-1,-120
1,125,125,30,2,150,0,0,221100,-1,-150
1,125,125,30,2,150,0,0,221100,0,0
1,125,126,30,2,150,-1,-1,221000,-1,-180
1,125,126,30,2,150,-1,-1,220900,0,-30
1,125,127,30,2,150,-2,-2,220700,-1,-210
1,125,126,30,2,150,-1,-1,220600,1,120
1,125,126,30,2,150,-1,-1,220500,0,-30
1,125,126,30,2,150,-1,-1,220400,0,-30
1,125,126,30,2,150,-1,-1,220300,0,-30
1,125,126,30,2,150,-1,-1,220200,0,-30
1,125,126,30,2,150,-1,-1,220100,0,-30
1,125,125,30,2,150,0,0,220100,1,150
1,125,125,30,2,150,0,0,220100,0,0
1,125,124,30,2,150,1,1,220200,1,180
1,125,124,30,2,150,1,1,220300,0,30
1,125,124,30,2,150,1,1,220400,0,30
1,125,124,30,2,150,1,1,220500,0,30
1,125,125,30,2,150,0,0,220500,-1,-150
1,125,126,30,2,150,-1,-1,220400,-1,-180
1,125,127,30,2,150,-2,-2,220200,-1,-210
1,125,128,30,2,150,-3,-3,219900,-1,-240
1,125,129,30,2,150,-4,-4,219500,-1,-270
1,125,129,30,2,150,-4,-4,219100,0,-120
1,125,129,30,2,150,-4,-4,218700,0,-120
1,125,129,30,2,150,-4,-4,218300,0,-120
1,125,128,30,2,150,-3,-3,218000,1,60
1,125,128,30,2,150,-3,-3,217700,0,-90
1,125,127,30,2,150,-2,-2,217500,1,90
1,125,127,30,2,150,-2,-2,217300,0,-60
1,125,127,30,2,150,-2,-2,217100,0,-60
1,125,127,30,2,150,-2,-2,216900,0,-60
1,125,127,30,2,150,-2,-2,216700,0,-60
1,125,127,30,2,150,-2,-2,216500,0,-60
