ProcessRunning,SP,PV,Kp,Ki,Kd,Error,PError,Integral,Derivative,Output
1,100,22,100,50,0,0,0,0,0,0
1,100,22,100,50,0,78,78,7800,78,397800
1,100,22,100,50,0,78,78,15600,0,787800
1,100,22,100,50,0,78,78,23400,0,1177800
1,100,23,100,50,0,77,77,31100,-1,1562700
1,100,24,100,50,0,76,76,38700,-1,1942600
1,100,25,100,50,0,75,75,46200,-1,2317500
1,100,26,100,50,0,74,74,53600,-1,2687400
1,100,27,100,50,0,73,73,60900,-1,3052300
1,100,28,100,50,0,72,72,68100,-1,3412200
1,100,29,100,50,0,71,71,75200,-1,3767100
1,100,31,100,50,0,69,69,82100,-2,4111900
1,100,32,100,50,0,68,68,88900,-1,4451800
1,100,33,100,50,0,67,67,95600,-1,4786700
1,100,34,100,50,0,66,66,102200,-1,5116600
1,100,36,100,50,0,64,64,108600,-2,5436400
1,100,38,100,50,0,62,62,114800,-2,5746200
1,100,39,100,50,0,61,61,120900,-1,6051100
1,100,41,100,50,0,59,59,126800,-2,6345900
1,100,43,100,50,0,57,57,132500,-2,6630700
1,100,44,100,50,0,56,56,138100,-1,6910600
1,100,46,100,50,0,54,54,143500,-2,7180400
1,100,47,100,50,0,53,53,148800,-1,7445300
1,100,49,100,50,0,51,51,153900,-2,7700100
1,100,51,100,50,0,49,49,158800,-2,7944900
1,100,53,100,50,0,47,47,163500,-2,8179700
1,100,54,100,50,0,46,46,168100,-1,8409600
1,100,56,100,50,0,44,44,172500,-2,8629400
1,100,57,100,50,0,43,43,176800,-1,8844300
1,100,59,100,50,0,41,41,180900,-2,9049100
1,100,61,100,50,0,39,39,184800,-2,9243900
1,100,63,100,50,0,37,37,188500,-2,9428700
1,100,64,100,50,0,36,36,192100,-1,9608600
1,100,66,100,50,0,34,34,195500,-2,9778400
1,100,68,100,50,0,32,32,198700,-2,9938200
1,100,70,100,50,0,30,30,201700,-2,10088000
1,100,71,100,50,0,29,29,204600,-1,10232900
1,100,73,100,50,0,27,27,207300,-2,10367700
1,100,75,100,50,0,25,25,209800,-2,10492500
1,100,77,100,50,0,23,23,212100,-2,10607300
1,100,78,100,50,0,22,22,214300,-1,10717200
1,100,80,100,50,0,20,20,216300,-2,10817000
1,100,82,100,50,0,18,18,218100,-2,10906800
1,100,84,100,50,0,16,16,219700,-2,10986600
1,100,85,100,50,0,15,15,221200,-1,11061500
1,100,87,100,50,0,13,13,222500,-2,11126300
1,100,88,100,50,0,12,12,223700,-1,11186200
1,100,91,100,50,0,9,9,224600,-3,11230900
1,100,92,100,50,0,8,8,225400,-1,11270800
1,100,94,100,50,0,6,6,226000,-2,11300600
1,100,95,100,50,0,5,5,226500,-1,11325500
1,100,97,100,50,0,3,3,226800,-2,11340300
1,100,99,100,50,0,1,1,226900,-2,11345100
1,100,100,100,50,0,0,0,226900,-1,11345000
1,100,102,100,50,0,-2,-2,226700,-2,11334800
1,100,103,100,50,0,-3,-3,226400,-1,11319700
1,100,106,100,50,0,-6,-6,225800,-3,11289400
1,100,107,100,50,0,-7,-7,225100,-1,11254300
1,100,108,100,50,0,-8,-8,224300,-1,11214200
1,100,110,100,50,0,-10,-10,223300,-2,11164000
1,100,112,100,50,0,-12,-12,222100,-2,11103800
1,100,114,100,50,0,-14,-14,220700,-2,11033600
1,100,115,100,50,0,-15,-15,219200,-1,10958500
1,100,116,100,50,0,-16,-16,217600,-1,10878400
1,100,118,100,50,0,-18,-18,215800,-2,10788200
1,100,120,100,50,0,-20,-20,213800,-2,10688000
1,100,121,100,50,0,-21,-21,211700,-1,10582900
1,100,123,100,50,0,-23,-23,209400,-2,10467700
1,100,124,100,50,0,-24,-24,207000,-1,10347600
1,100,126,100,50,0,-26,-26,204400,-2,10217400
1,100,127,100,50,0,-27,-27,201700,-1,10082300
1,100,129,100,50,0,-29,-29,198800,-2,9937100
1,100,130,100,50,0,-30,-30,195800,-1,9787000
1,100,131,100,50,0,-31,-31,192700,-1,9631900
1,100,133,100,50,0,-33,-33,189400,-2,9466700
1,100,135,100,50,0,-35,-35,185900,-2,9291500
1,100,136,100,50,0,-36,-36,182300,-1,9111400
1,100,137,100,50,0,-37,-37,178600,-1,8926300
1,100,139,100,50,0,-39,-39,174700,-2,8731100
1,100,140,100,50,0,-40,-40,170700,-1,8531000
1,100,142,100,50,0,-42,-42,166500,-2,8320800
1,100,143,100,50,0,-43,-43,162200,-1,8105700
1,100,144,100,50,0,-44,-44,157800,-1,7885600
1,100,146,100,50,0,-46,-46,153200,-2,7655400
1,100,147,100,50,0,-47,-47,148500,-1,7420300
1,100,148,100,50,0,-48,-48,143700,-1,7180200
1,100,150,100,50,0,-50,-50,138700,-2,6930000
1,100,151,100,50,0,-51,-51,133600,-1,6674900
1,100,153,100,50,0,-53,-53,128300,-2,6409700
1,100,154,100,50,0,-54,-54,122900,-1,6139600
1,100,155,100,50,0,-55,-55,117400,-1,5864500
1,100,156,100,50,0,-56,-56,111800,-1,5584400
