ProcessRunning,SP,PV,Kp,Ki,Kd,Error,PError,Integral,Derivative,Output
1,90,78,250,0,0,12,12,12,12,3000
1,90,78,250,0,0,12,12,24,0,3000
1,90,77,250,0,0,13,13,37,1,3250
1,90,78,250,0,0,12,12,49,-1,3000
1,90,79,250,0,0,11,11,60,-1,2750
1,90,80,250,0,0,10,10,70,-1,2500
1,90,82,250,0,0,8,8,78,-2,2000
1,90,84,250,0,0,6,6,84,-2,1500
1,90,85,250,0,0,5,5,89,-1,1250
1,90,87,250,0,0,3,3,92,-2,750
1,90,90,250,0,0,0,0,92,-3,0
1,90,92,250,0,0,-2,-2,90,-2,-500
1,90,94,250,0,0,-4,-4,86,-2,-1000
1,90,95,250,0,0,-5,-5,81,-1,-1250
1,90,96,250,0,0,-6,-6,75,-1,-1500
1,90,96,250,0,0,-6,-6,69,0,-1500
1,90,96,250,0,0,-6,-6,63,0,-1500
1,90,96,250,0,0,-6,-6,57,0,-1500
1,90,96,250,0,0,-6,-6,51,0,-1500
1,90,95,250,0,0,-5,-5,46,1,-1250
1,90,95,250,0,0,-5,-5,41,0,-1250
1,90,95,250,0,0,-5,-5,36,0,-1250
1,90,94,250,0,0,-4,-4,32,1,-1000
1,90,94,250,0,0,-4,-4,28,0,-1000
1,90,93,250,0,0,-3,-3,25,1,-750
1,90,93,250,0,0,-3,-3,22,0,-750
1,90,92,250,0,0,-2,-2,20,1,-500
1,90,92,250,0,0,-2,-2,18,0,-500
1,90,91,250,0,0,-1,-1,17,1,-250
1,90,90,250,0,0,0,0,17,1,0
1,90,90,250,0,0,0,0,17,0,0
1,90,89,250,0,0,1,1,18,1,250
1,90,89,250,0,0,1,1,19,0,250
1,90,88,250,0,0,2,2,21,1,500
1,90,89,250,0,0,1,1,22,-1,250
1,90,89,250,0,0,1,1,23,0,250
1,90,90,250,0,0,0,0,23,-1,0
1,90,92,250,0,0,-2,-2,21,-2,-500
1,90,94,250,0,0,-4,-4,17,-2,-1000
1,90,95,250,0,0,-5,-5,12,-1,-1250
1,90,95,250,0,0,-5,-5,7,0,-1250
1,90,95,250,0,0,-5,-5,2,0,-1250
1,90,95,250,0,0,-5,-5,-3,0,-1250
1,90,95,250,0,0,-5,-5,-8,0,-1250
1,90,95,250,0,0,-5,-5,-13,0,-1250
1,90,94,250,0,0,-4,-4,-17,1,-1000
1,90,94,250,0,0,-4,-4,-21,0,-1000
1,90,93,250,0,0,-3,-3,-24,1,-750
1,90,93,250,0,0,-3,-3,-27,0,-750
1,90,92,250,0,0,-2,-2,-29,1,-500
1,90,92,250,0,0,-2,-2,-31,0,-500
1,90,91,250,0,0,-1,-1,-32,1,-250
1,90,91,250,0,0,-1,-1,-33,0,-250
1,90,90,250,0,0,0,0,-33,1,0
1,90,90,250,0,0,0,0,-33,0,0
1,90,89,250,0,0,1,1,-32,1,250
1,90,88,250,0,0,2,2,-30,1,500
1,90,88,250,0,0,2,2,-28,0,500
1,90,88,250,0,0,2,2,-26,0,500
1,90,89,250,0,0,1,1,-25,-1,250
1,90,91,250,0,0,-1,-1,-26,-2,-250
1,90,92,250,0,0,-2,-2,-28,-1,-500
1,100,93,250,0,0,7,7,-21,9,1750
