ProcessRunning,SP,PV,Kp,Ki,Kd,Error,PError,Integral,Derivative,Output
1,125,24,15,2,100,101,101,10100,101,11615
1,125,24,15,2,100,101,101,20200,0,1515
1,125,24,15,2,100,101,101,30300,0,1515
1,125,25,15,2,100,100,100,40300,-1,1400
1,125,27,15,2,100,98,98,50100,-2,1270
1,125,29,15,2,100,96,96,59700,-2,1240
1,125,32,15,2,100,93,93,69000,-3,1095
1,125,34,15,2,100,91,91,78100,-2,1165
1,125,37,15,2,100,88,88,86900,-3,1020
1,125,39,15,2,100,86,86,95500,-2,1090
1,125,42,15,2,100,83,83,103800,-3,945
1,125,46,15,2,100,79,79,111700,-4,785
1,125,48,15,2,100,77,77,119400,-2,955
1,125,51,15,2,100,74,74,126800,-3,810
1,125,54,15,2,100,71,71,133900,-3,765
1,125,58,15,2,100,67,67,140600,-4,605
1,125,60,15,2,100,65,65,147100,-2,775
1,125,63,15,2,100,62,62,153300,-3,630
1,125,66,15,2,100,59,59,159200,-3,585
1,125,68,15,2,100,57,57,164900,-2,655
1,125,72,15,2,100,53,53,170200,-4,395
1,125,75,15,2,100,50,50,175200,-3,450
1,125,77,15,2,100,48,48,180000,-2,520
1,125,80,15,2,100,45,45,184500,-3,375
1,125,83,15,2,100,42,42,188700,-3,330
1,125,86,15,2,100,39,39,192600,-3,285
1,125,88,15,2,100,37,37,196300,-2,355
1,125,90,15,2,100,35,35,199800,-2,325
1,125,93,15,2,100,32,32,203000,-3,180
1,125,96,15,2,100,29,29,205900,-3,135
1,125,98,15,2,100,27,27,208600,-2,205
1,125,101,15,2,100,24,24,211000,-3,60
1,125,103,15,2,100,22,22,213200,-2,130
1,125,106,15,2,100,19,19,215100,-3,-15
1,125,108,15,2,100,17,17,216800,-2,55
1,125,110,15,2,100,15,15,218300,-2,25
1,125,112,15,2,100,13,13,219600,-2,-5
1,125,113,15,2,100,12,12,220800,-1,80
1,125,115,15,2,100,10,10,221800,-2,-50
1,125,117,15,2,100,8,8,222600,-2,-80
1,125,118,15,2,100,7,7,223300,-1,5
1,125,118,15,2,100,7,7,224000,0,105
1,125,119,15,2,100,6,6,224600,-1,-10
1,125,120,15,2,100,5,5,225100,-1,-25
1,125,121,15,2,100,4,4,225500,-1,-40
1,125,121,15,2,100,4,4,225900,0,60
1,125,122,15,2,100,3,3,226200,-1,-55
1,125,122,15,2,100,3,3,226500,0,45
1,125,122,15,2,100,3,3,226800,0,45
1,125,122,15,2,100,3,3,227100,0,45
1,125,123,15,2,100,2,2,227300,-1,-70
1,125,124,15,2,100,1,1,227400,-1,-85
1,125,125,15,2,100,0,0,227400,-1,-100
1,125,126,15,2,100,-1,-1,227300,-1,-115
1,125,126,15,2,100,-1,-1,227200,0,-15
1,125,126,15,2,100,-1,-1,227100,0,-15
1,125,125,15,2,100,0,0,227100,1,100
1,125,125,15,2,100,0,0,227100,0,0
1,125,125,15,2,100,0,0,227100,0,0
1,125,124,15,2,100,1,1,227200,1,115
1,125,124,15,2,100,1,1,227300,0,15
1,125,124,15,2,100,1,1,227400,0,15
1,125,124,15,2,100,1,1,227500,0,15
1,125,125,15,2,100,0,0,227500,-1,-100
1,125,126,15,2,100,-1,-1,227400,-1,-115
1,125,127,15,2,100,-2,-2,227200,-1,-130
1,125,128,15,2,100,-3,-3,226900,-1,-145
1,125,128,15,2,100,-3,-3,226600,0,-45
1,125,129,15,2,100,-4,-4,226200,-1,-160
1,125,128,15,2,100,-3,-3,225900,1,55
