ProcessRunning,SP,PV,Kp,Ki,Kd,Error,PError,Integral,Derivative,Output
1,80,73,220,140,170,7,7,7,7,2730
1,80,72,220,140,170,8,8,15,1,1930
1,80,72,220,140,170,8,8,23,0,1760
1,80,72,220,140,170,8,8,31,0,1760
1,80,73,220,140,170,7,7,38,-1,1370
1,80,74,220,140,170,6,6,44,-1,1150
1,80,76,220,140,170,4,4,48,-2,540
1,80,78,220,140,170,2,2,50,-2,100
1,80,80,220,140,170,0,0,50,-2,-340
1,80,81,220,140,170,-1,-1,49,-1,-390
1,80,83,220,140,170,-3,-3,46,-2,-1000
1,80,84,220,140,170,-4,-4,42,-1,-1050
1,80,85,220,140,170,-5,-5,37,-1,-1270
1,80,86,220,140,170,-6,-6,31,-1,-1490
1,80,86,220,140,170,-6,-6,25,0,-1320
1,80,86,220,140,170,-6,-6,19,0,-1320
1,80,86,220,140,170,-6,-6,13,0,-1320
1,80,86,220,140,170,-6,-6,7,0,-1320
1,80,85,220,140,170,-5,-5,2,1,-930
1,80,85,220,140,170,-5,-5,-3,0,-1100
1,80,85,220,140,170,-5,-5,-8,0,-1100
1,80,84,220,140,170,-4,-4,-12,1,-710
1,80,84,220,140,170,-4,-4,-16,0,-880
1,80,84,220,140,170,-4,-4,-20,0,-880
1,80,83,220,140,170,-3,-3,-23,1,-490
1,80,83,220,140,170,-3,-3,-26,0,-660
1,80,82,220,140,170,-2,-2,-28,1,-270
1,80,82,220,140,170,-2,-2,-30,0,-440
1,80,81,220,140,170,-1,-1,-31,1,-50
1,80,81,220,140,170,-1,-1,-32,0,-220
1,80,80,220,140,170,0,0,-32,1,170
1,80,80,220,140,170,0,0,-32,0,0
1,80,79,220,140,170,1,1,-31,1,390
1,80,79,220,140,170,1,1,-30,0,220
1,80,80,220,140,170,0,0,-30,-1,-170
1,80,81,220,140,170,-1,-1,-31,-1,-390
1,80,81,220,140,170,-1,-1,-32,0,-220
1,80,82,220,140,170,-2,-2,-34,-1,-610
1,80,82,220,140,170,-2,-2,-36,0,-440
1,80,82,220,140,170,-2,-2,-38,0,-440
1,80,82,220,140,170,-2,-2,-40,0,-440
1,80,82,220,140,170,-2,-2,-42,0,-440
1,80,82,220,140,170,-2,-2,-44,0,-440
1,80,81,220,140,170,-1,-1,-45,1,-50
1,80,81,220,140,170,-1,-1,-46,0,-220
1,80,81,220,140,170,-1,-1,-47,0,-220
1,80,80,220,140,170,0,0,-47,1,170
1,80,80,220,140,170,0,0,-47,0,0
1,80,80,220,140,170,0,0,-47,0,0
1,80,80,220,140,170,0,0,-47,0,0
1,80,80,220,140,170,0,0,-47,0,0
1,80,80,220,140,170,0,0,-47,0,0
1,80,79,220,140,170,1,1,-46,1,390
1,80,79,220,140,170,1,1,-45,0,220
1,80,79,220,140,170,1,1,-44,0,220
1,80,80,220,140,170,0,0,-44,-1,-170
1,80,80,220,140,170,0,0,-44,0,0
1,80,82,220,140,170,-2,-2,-46,-2,-780
1,80,82,220,140,170,-2,-2,-48,0,-440
1,80,83,220,140,170,-3,-3,-51,-1,-830
1,80,83,220,140,170,-3,-3,-54,0,-660
1,80,83,220,140,170,-3,-3,-57,0,-660
1,90,83,220,140,170,7,7,-50,10,3240
1,90,82,220,140,170,8,8,-42,1,1930
1,90,82,220,140,170,8,8,-34,0,1760
1,90,82,220,140,170,8,8,-26,0,1760
1,90,84,220,140,170,6,6,-20,-2,980
1,90,85,220,140,170,5,5,-15,-1,930
1,90,86,220,140,170,4,4,-11,-1,710
1,90,88,220,140,170,2,2,-9,-2,100
1,90,90,220,140,170,0,0,-9,-2,-340
1,90,92,220,140,170,-2,-2,-11,-2,-780
1,90,94,220,140,170,-4,-4,-15,-2,-1220
1,90,95,220,140,170,-5,-5,-20,-1,-1270
1,90,95,220,140,170,-5,-5,-25,0,-1100
1,90,96,220,140,170,-6,-6,-31,-1,-1490
1,90,96,220,140,170,-6,-6,-37,0,-1320
1,90,96,220,140,170,-6,-6,-43,0,-1320
1,90,96,220,140,170,-6,-6,-49,0,-1320
1,90,96,220,140,170,-6,-6,-55,0,-1320
1,90,95,220,140,170,-5,-5,-60,1,-930
1,90,95,220,140,170,-5,-5,-65,0,-1100
1,90,94,220,140,170,-4,-4,-69,1,-710
1,90,94,220,140,170,-4,-4,-73,0,-880
1,90,93,220,140,170,-3,-3,-76,1,-490
