ProcessRunning,SP,PV,Kp,Ki,Kd,Error,PError,Integral,Derivative,Output
1,30,28,250,0,0,2,2,2,2,500
1,30,28,250,0,0,2,2,4,0,500
1,30,28,250,0,0,2,2,6,0,500
1,30,29,250,0,0,1,1,7,-1,250
1,30,30,250,0,0,0,0,7,-1,0
1,30,32,250,0,0,-2,-2,5,-2,-500
1,30,33,250,0,0,-3,-3,2,-1,-750
1,30,34,250,0,0,-4,-4,-2,-1,-1000
1,30,35,250,0,0,-5,-5,-7,-1,-1250
1,30,36,250,0,0,-6,-6,-13,-1,-1500
1,30,36,250,0,0,-6,-6,-19,0,-1500
1,30,36,250,0,0,-6,-6,-25,0,-1500
1,30,36,250,0,0,-6,-6,-31,0,-1500
1,30,36,250,0,0,-6,-6,-37,0,-1500
1,30,36,250,0,0,-6,-6,-43,0,-1500
1,30,36,250,0,0,-6,-6,-49,0,-1500
1,30,36,250,0,0,-6,-6,-55,0,-1500
1,40,36,250,0,0,4,4,-51,10,1000
1,40,36,250,0,0,4,4,-47,0,1000
1,40,36,250,0,0,4,4,-43,0,1000
1,40,37,250,0,0,3,3,-40,-1,750
1,40,38,250,0,0,2,2,-38,-1,500
1,40,40,250,0,0,0,0,-38,-2,0
1,40,42,250,0,0,-2,-2,-40,-2,-500
1,40,43,250,0,0,-3,-3,-43,-1,-750
1,40,44,250,0,0,-4,-4,-47,-1,-1000
1,40,45,250,0,0,-5,-5,-52,-1,-1250
1,40,45,250,0,0,-5,-5,-57,0,-1250
1,40,45,250,0,0,-5,-5,-62,0,-1250
1,40,46,250,0,0,-6,-6,-68,-1,-1500
1,40,46,250,0,0,-6,-6,-74,0,-1500
1,40,45,250,0,0,-5,-5,-79,1,-1250
1,40,45,250,0,0,-5,-5,-84,0,-1250
1,40,45,250,0,0,-5,-5,-89,0,-1250
1,40,45,250,0,0,-5,-5,-94,0,-1250
1,40,45,250,0,0,-5,-5,-99,0,-1250
1,40,44,250,0,0,-4,-4,-103,1,-1000
1,40,44,250,0,0,-4,-4,-107,0,-1000
1,40,44,250,0,0,-4,-4,-111,0,-1000
1,40,44,250,0,0,-4,-4,-115,0,-1000
1,40,43,250,0,0,-3,-3,-118,1,-750
1,40,43,250,0,0,-3,-3,-121,0,-750
1,40,43,250,0,0,-3,-3,-124,0,-750
1,40,43,250,0,0,-3,-3,-127,0,-750
1,40,42,250,0,0,-2,-2,-129,1,-500
1,40,42,250,0,0,-2,-2,-131,0,-500
1,40,42,250,0,0,-2,-2,-133,0,-500
1,40,41,250,0,0,-1,-1,-134,1,-250
1,40,41,250,0,0,-1,-1,-135,0,-250
1,40,41,250,0,0,-1,-1,-136,0,-250
1,40,41,250,0,0,-1,-1,-137,0,-250
1,40,40,250,0,0,0,0,-137,1,0
1,40,40,250,0,0,0,0,-137,0,0
1,40,40,250,0,0,0,0,-137,0,0
1,40,40,250,0,0,0,0,-137,0,0
1,40,39,250,0,0,1,1,-136,1,250
1,40,39,250,0,0,1,1,-135,0,250
1,40,39,250,0,0,1,1,-134,0,250
1,40,40,250,0,0,0,0,-134,-1,0
1,40,41,250,0,0,-1,-1,-135,-1,-250
1,40,42,250,0,0,-2,-2,-137,-1,-500
1,40,43,250,0,0,-3,-3,-140,-1,-750
1,40,43,250,0,0,-3,-3,-143,0,-750
1,40,44,250,0,0,-4,-4,-147,-1,-1000
1,40,44,250,0,0,-4,-4,-151,0,-1000
1,40,44,250,0,0,-4,-4,-155,0,-1000
1,40,44,250,0,0,-4,-4,-159,0,-1000
1,40,44,250,0,0,-4,-4,-163,0,-1000
1,40,43,250,0,0,-3,-3,-166,1,-750
1,40,43,250,0,0,-3,-3,-169,0,-750
1,40,43,250,0,0,-3,-3,-172,0,-750
1,40,43,250,0,0,-3,-3,-175,0,-750
1,40,43,250,0,0,-3,-3,-178,0,-750
1,40,42,250,0,0,-2,-2,-180,1,-500
1,40,42,250,0,0,-2,-2,-182,0,-500
1,40,42,250,0,0,-2,-2,-184,0,-500
1,40,42,250,0,0,-2,-2,-186,0,-500
1,40,41,250,0,0,-1,-1,-187,1,-250
1,40,41,250,0,0,-1,-1,-188,0,-250
1,50,41,250,0,0,9,9,-179,10,2250
1,50,41,250,0,0,9,9,-170,0,2250
1,50,41,250,0,0,9,9,-161,0,2250
1,50,41,250,0,0,9,9,-152,0,2250
1,50,42,250,0,0,8,8,-144,-1,2000
1,50,44,250,0,0,6,6,-138,-2,1500
1,50,46,250,0,0,4,4,-134,-2,1000
1,50,48,250,0,0,2,2,-132,-2,500
1,50,49,250,0,0,1,1,-131,-1,250
1,50,51,250,0,0,-1,-1,-132,-2,-250
1,50,53,250,0,0,-3,-3,-135,-2,-750
1,50,55,250,0,0,-5,-5,-140,-2,-1250
1,50,56,250,0,0,-6,-6,-146,-1,-1500
1,50,57,250,0,0,-7,-7,-153,-1,-1750
1,50,57,250,0,0,-7,-7,-160,0,-1750
1,50,58,250,0,0,-8,-8,-168,-1,-2000
1,50,57,250,0,0,-7,-7,-175,1,-1750
1,50,57,250,0,0,-7,-7,-182,0,-1750
1,50,57,250,0,0,-7,-7,-189,0,-1750
1,50,56,250,0,0,-6,-6,-195,1,-1500
1,50,56,250,0,0,-6,-6,-201,0,-1500
1,50,55,250,0,0,-5,-5,-206,1,-1250
1,50,55,250,0,0,-5,-5,-211,0,-1250
1,50,55,250,0,0,-5,-5,-216,0,-1250
1,50,54,250,0,0,-4,-4,-220,1,-1000
1,50,54,250,0,0,-4,-4,-224,0,-1000
1,50,53,250,0,0,-3,-3,-227,1,-750
1,50,53,250,0,0,-3,-3,-230,0,-750
1,50,52,250,0,0,-2,-2,-232,1,-500
1,50,52,250,0,0,-2,-2,-234,0,-500
1,50,51,250,0,0,-1,-1,-235,1,-250
1,50,51,250,0,0,-1,-1,-236,0,-250
1,50,51,250,0,0,-1,-1,-237,0,-250
1,50,50,250,0,0,0,0,-237,1,0
1,50,50,250,0,0,0,0,-237,0,0
1,50,49,250,0,0,1,1,-236,1,250
1,50,49,250,0,0,1,1,-235,0,250
1,50,49,250,0,0,1,1,-234,0,250
1,50,49,250,0,0,1,1,-233,0,250
1,50,50,250,0,0,0,0,-233,-1,0
1,50,52,250,0,0,-2,-2,-235,-2,-500
1,50,52,250,0,0,-2,-2,-237,0,-500
1,50,54,250,0,0,-4,-4,-241,-2,-1000
1,50,54,250,0,0,-4,-4,-245,0,-1000
1,50,54,250,0,0,-4,-4,-249,0,-1000
1,50,54,250,0,0,-4,-4,-253,0,-1000
1,50,54,250,0,0,-4,-4,-257,0,-1000
1,50,54,250,0,0,-4,-4,-261,0,-1000
1,50,53,250,0,0,-3,-3,-264,1,-750
1,50,53,250,0,0,-3,-3,-267,0,-750
1,50,53,250,0,0,-3,-3,-270,0,-750
1,50,52,250,0,0,-2,-2,-272,1,-500
1,50,52,250,0,0,-2,-2,-274,0,-500
1,50,51,250,0,0,-1,-1,-275,1,-250
1,50,51,250,0,0,-1,-1,-276,0,-250
1,50,51,250,0,0,-1,-1,-277,0,-250
1,50,50,250,0,0,0,0,-277,1,0
1,50,50,250,0,0,0,0,-277,0,0
1,50,49,250,0,0,1,1,-276,1,250
1,50,49,250,0,0,1,1,-275,0,250
1,50,49,250,0,0,1,1,-274,0,250
1,50,50,250,0,0,0,0,-274,-1,0
1,60,51,250,0,0,9,9,-265,9,2250
1,60,51,250,0,0,9,9,-256,0,2250
1,60,53,250,0,0,7,7,-249,-2,1750
1,60,54,250,0,0,6,6,-243,-1,1500
1,60,56,250,0,0,4,4,-239,-2,1000
1,60,57,250,0,0,3,3,-236,-1,750
1,60,59,250,0,0,1,1,-235,-2,250
1,60,61,250,0,0,-1,-1,-236,-2,-250
1,60,64,250,0,0,-4,-4,-240,-3,-1000
1,60,65,250,0,0,-5,-5,-245,-1,-1250
1,60,66,250,0,0,-6,-6,-251,-1,-1500
1,60,67,250,0,0,-7,-7,-258,-1,-1750
1,60,67,250,0,0,-7,-7,-265,0,-1750
1,60,67,250,0,0,-7,-7,-272,0,-1750
1,60,67,250,0,0,-7,-7,-279,0,-1750
1,60,66,250,0,0,-6,-6,-285,1,-1500
1,60,66,250,0,0,-6,-6,-291,0,-1500
1,60,65,250,0,0,-5,-5,-296,1,-1250
1,60,65,250,0,0,-5,-5,-301,0,-1250
1,60,64,250,0,0,-4,-4,-305,1,-1000
1,60,64,250,0,0,-4,-4,-309,0,-1000
1,60,63,250,0,0,-3,-3,-312,1,-750
1,60,62,250,0,0,-2,-2,-314,1,-500
1,60,62,250,0,0,-2,-2,-316,0,-500
1,60,61,250,0,0,-1,-1,-317,1,-250
1,60,61,250,0,0,-1,-1,-318,0,-250
1,60,60,250,0,0,0,0,-318,1,0
1,60,59,250,0,0,1,1,-317,1,250
1,60,59,250,0,0,1,1,-316,0,250
1,60,59,250,0,0,1,1,-315,0,250
1,60,59,250,0,0,1,1,-314,0,250
1,60,60,250,0,0,0,0,-314,-1,0
1,60,61,250,0,0,-1,-1,-315,-1,-250
1,60,62,250,0,0,-2,-2,-317,-1,-500
1,60,63,250,0,0,-3,-3,-320,-1,-750
1,60,64,250,0,0,-4,-4,-324,-1,-1000
1,60,64,250,0,0,-4,-4,-328,0,-1000
1,60,64,250,0,0,-4,-4,-332,0,-1000
1,60,63,250,0,0,-3,-3,-335,1,-750
1,60,63,250,0,0,-3,-3,-338,0,-750
1,60,62,250,0,0,-2,-2,-340,1,-500
1,60,62,250,0,0,-2,-2,-342,0,-500
1,60,62,250,0,0,-2,-2,-344,0,-500
1,60,61,250,0,0,-1,-1,-345,1,-250
1,60,60,250,0,0,0,0,-345,1,0
1,60,60,250,0,0,0,0,-345,0,0
1,60,59,250,0,0,1,1,-344,1,250
1,60,59,250,0,0,1,1,-343,0,250
1,60,59,250,0,0,1,1,-342,0,250
1,60,59,250,0,0,1,1,-341,0,250
1,60,60,250,0,0,0,0,-341,-1,0
1,60,61,250,0,0,-1,-1,-342,-1,-250
1,60,62,250,0,0,-2,-2,-344,-1,-500
1,60,64,250,0,0,-4,-4,-348,-2,-1000
1,60,64,250,0,0,-4,-4,-352,0,-1000
1,60,64,250,0,0,-4,-4,-356,0,-1000
