ProcessRunning,SP,PV,Kp,Ki,Kd,Error,PError,Integral,Derivative,Output
1,100,22,100,1,0,78,78,7800,78,15600
1,100,22,100,1,0,78,78,15600,0,23400
1,100,22,100,1,0,78,78,23400,0,31200
1,100,23,100,1,0,77,77,31100,-1,38800
1,100,23,100,1,0,77,77,38800,0,46500
1,100,25,100,1,0,75,75,46300,-2,53800
1,100,26,100,1,0,74,74,53700,-1,61100
1,100,27,100,1,0,73,73,61000,-1,68300
1,100,28,100,1,0,72,72,68200,-1,75400
1,100,29,100,1,0,71,71,75300,-1,82400
1,100,31,100,1,0,69,69,82200,-2,89100
1,100,32,100,1,0,68,68,89000,-1,95800
1,100,34,100,1,0,66,66,95600,-2,102200
1,100,35,100,1,0,65,65,102100,-1,108600
1,100,37,100,1,0,63,63,108400,-2,114700
1,100,39,100,1,0,61,61,114500,-2,120600
1,100,40,100,1,0,60,60,120500,-1,126500
1,100,42,100,1,0,58,58,126300,-2,132100
1,100,43,100,1,0,57,57,132000,-1,137700
1,100,46,100,1,0,54,54,137400,-3,142800
1,100,48,100,1,0,52,52,142600,-2,147800
1,100,50,100,1,0,50,50,147600,-2,152600
1,100,51,100,1,0,49,49,152500,-1,157400
1,100,54,100,1,0,46,46,157100,-3,161700
1,100,56,100,1,0,44,44,161500,-2,165900
1,100,58,100,1,0,42,42,165700,-2,169900
1,100,60,100,1,0,40,40,169700,-2,173700
1,100,62,100,1,0,38,38,173500,-2,177300
1,100,65,100,1,0,35,35,177000,-3,180500
1,100,67,100,1,0,33,33,180300,-2,183600
1,100,69,100,1,0,31,31,183400,-2,186500
1,100,71,100,1,0,29,29,186300,-2,189200
1,100,74,100,1,0,26,26,188900,-3,191500
1,100,75,100,1,0,25,25,191400,-1,193900
1,100,77,100,1,0,23,23,193700,-2,196000
1,100,79,100,1,0,21,21,195800,-2,197900
1,100,81,100,1,0,19,19,197700,-2,199600
1,100,84,100,1,0,16,16,199300,-3,200900
1,100,86,100,1,0,14,14,200700,-2,202100
1,100,88,100,1,0,12,12,201900,-2,203100
1,100,89,100,1,0,11,11,203000,-1,204100
1,100,92,100,1,0,8,8,203800,-3,204600
1,100,94,100,1,0,6,6,204400,-2,205000
1,100,95,100,1,0,5,5,204900,-1,205400
1,100,97,100,1,0,3,3,205200,-2,205500
1,100,99,100,1,0,1,1,205300,-2,205400
1,100,101,100,1,0,-1,-1,205200,-2,205100
1,100,103,100,1,0,-3,-3,204900,-2,204600
1,100,105,100,1,0,-5,-5,204400,-2,203900
1,100,106,100,1,0,-6,-6,203800,-1,203200
1,100,109,100,1,0,-9,-9,202900,-3,202000
1,100,110,100,1,0,-10,-10,201900,-1,200900
1,100,112,100,1,0,-12,-12,200700,-2,199500
1,100,114,100,1,0,-14,-14,199300,-2,197900
1,100,115,100,1,0,-15,-15,197800,-1,196300
1,100,117,100,1,0,-17,-17,196100,-2,194400
1,100,119,100,1,0,-19,-19,194200,-2,192300
1,100,120,100,1,0,-20,-20,192200,-1,190200
