ProcessRunning,SP,PV,Kp,Ki,Kd,Error,PError,Integral,Derivative,Output
1,150,112,180,5,80,38,38,38,38,9887
1,150,111,180,5,80,39,39,77,1,7115
1,150,111,180,5,80,39,39,116,0,7043
1,150,111,180,5,80,39,39,155,0,7051
1,150,111,180,5,80,39,39,194,0,7058
1,150,112,180,5,80,38,38,232,-1,6806
1,150,114,180,5,80,36,36,268,-2,6373
1,150,116,180,5,80,34,34,302,-2,6020
1,150,117,180,5,80,33,33,335,-1,5927
1,150,119,180,5,80,31,31,366,-2,5493
1,150,121,180,5,80,29,29,395,-2,5139
1,150,123,180,5,80,27,27,422,-2,4784
1,150,125,180,5,80,25,25,447,-2,4429
1,150,127,180,5,80,23,23,470,-2,4074
1,150,129,180,5,80,21,21,491,-2,3718
1,150,131,180,5,80,19,19,510,-2,3362
1,150,133,180,5,80,17,17,527,-2,3005
1,150,135,180,5,80,15,15,542,-2,2648
1,150,137,180,5,80,13,13,555,-2,2291
1,150,139,180,5,80,11,11,566,-2,1933
1,150,141,180,5,80,9,9,575,-2,1575
1,150,143,180,5,80,7,7,582,-2,1216
1,150,145,180,5,80,5,5,587,-2,857
