ProcessRunning,SP,PV,Kp,Ki,Kd,Error,PError,Integral,Derivative,Output
1,125,61,15,2,50,64,64,6400,64,4160
1,125,61,15,2,50,64,64,12800,0,960
1,125,61,15,2,50,64,64,19200,0,960
1,125,62,15,2,50,63,63,25500,-1,895
1,125,63,15,2,50,62,62,31700,-1,880
1,125,65,15,2,50,60,60,37700,-2,800
1,125,67,15,2,50,58,58,43500,-2,770
1,125,70,15,2,50,55,55,49000,-3,675
1,125,73,15,2,50,52,52,54200,-3,630
1,125,75,15,2,50,50,50,59200,-2,650
1,125,78,15,2,50,47,47,63900,-3,555
1,125,81,15,2,50,44,44,68300,-3,510
1,125,84,15,2,50,41,41,72400,-3,465
1,125,86,15,2,50,39,39,76300,-2,485
1,125,89,15,2,50,36,36,79900,-3,390
1,125,92,15,2,50,33,33,83200,-3,345
1,125,95,15,2,50,30,30,86200,-3,300
1,125,98,15,2,50,27,27,88900,-3,255
1,125,100,15,2,50,25,25,91400,-2,275
1,125,103,15,2,50,22,22,93600,-3,180
1,125,107,15,2,50,18,18,95400,-4,70
1,125,109,15,2,50,16,16,97000,-2,140
1,125,111,15,2,50,14,14,98400,-2,110
1,125,113,15,2,50,12,12,99600,-2,80
1,125,116,15,2,50,9,9,100500,-3,-15
1,125,119,15,2,50,6,6,101100,-3,-60
1,125,121,15,2,50,4,4,101500,-2,-40
1,125,122,15,2,50,3,3,101800,-1,-5
1,125,123,15,2,50,2,2,102000,-1,-20
1,125,124,15,2,50,1,1,102100,-1,-35
1,125,124,15,2,50,1,1,102200,0,15
1,125,124,15,2,50,1,1,102300,0,15
1,125,124,15,2,50,1,1,102400,0,15
1,125,124,15,2,50,1,1,102500,0,15
1,125,125,15,2,50,0,0,102500,-1,-50
1,125,126,15,2,50,-1,-1,102400,-1,-65
1,125,128,15,2,50,-3,-3,102100,-2,-145
1,125,129,15,2,50,-4,-4,101700,-1,-110
1,125,130,15,2,50,-5,-5,101200,-1,-125
1,125,129,15,2,50,-4,-4,100800,1,-10
1,125,129,15,2,50,-4,-4,100400,0,-60
1,125,129,15,2,50,-4,-4,100000,0,-60
1,125,129,15,2,50,-4,-4,99600,0,-60
1,125,128,15,2,50,-3,-3,99300,1,5
1,125,127,15,2,50,-2,-2,99100,1,20
1,125,126,15,2,50,-1,-1,99000,1,35
1,125,126,15,2,50,-1,-1,98900,0,-15
1,125,127,15,2,50,-2,-2,98700,-1,-80
1,125,128,15,2,50,-3,-3,98400,-1,-95
1,125,129,15,2,50,-4,-4,98000,-1,-110
1,125,129,15,2,50,-4,-4,97600,0,-60
1,125,129,15,2,50,-4,-4,97200,0,-60
1,125,128,15,2,50,-3,-3,96900,1,5
1,125,128,15,2,50,-3,-3,96600,0,-45
1,125,128,15,2,50,-3,-3,96300,0,-45
1,125,127,15,2,50,-2,-2,96100,1,20
1,125,127,15,2,50,-2,-2,95900,0,-30
1,125,127,15,2,50,-2,-2,95700,0,-30
1,125,127,15,2,50,-2,-2,95500,0,-30
1,125,127,15,2,50,-2,-2,95300,0,-30
1,125,127,15,2,50,-2,-2,95100,0,-30
1,125,126,15,2,50,-1,-1,95000,1,35
1,125,126,15,2,50,-1,-1,94900,0,-15
1,125,125,15,2,50,0,0,94900,1,50
1,125,125,15,2,50,0,0,94900,0,0
1,125,125,15,2,50,0,0,94900,0,0
1,125,126,15,2,50,-1,-1,94800,-1,-65
1,125,126,15,2,50,-1,-1,94700,0,-15
1,125,126,15,2,50,-1,-1,94600,0,-15
1,125,125,15,2,50,0,0,94600,1,50
1,125,125,15,2,50,0,0,94600,0,0
1,125,124,15,2,50,1,1,94700,1,65
1,125,124,15,2,50,1,1,94800,0,15
1,125,124,15,2,50,1,1,94900,0,15
1,125,125,15,2,50,0,0,94900,-1,-50
1,125,126,15,2,50,-1,-1,94800,-1,-65
1,125,127,15,2,50,-2,-2,94600,-1,-80
1,125,128,15,2,50,-3,-3,94300,-1,-95
1,125,128,15,2,50,-3,-3,94000,0,-45
1,125,128,15,2,50,-3,-3,93700,0,-45
1,125,128,15,2,50,-3,-3,93400,0,-45
1,125,127,15,2,50,-2,-2,93200,1,20
1,125,126,15,2,50,-1,-1,93100,1,35
1,125,126,15,2,50,-1,-1,93000,0,-15
1,125,126,15,2,50,-1,-1,92900,0,-15
1,125,127,15,2,50,-2,-2,92700,-1,-80
1,125,127,15,2,50,-2,-2,92500,0,-30
1,125,127,15,2,50,-2,-2,92300,0,-30
1,125,126,15,2,50,-1,-1,92200,1,35
1,125,126,15,2,50,-1,-1,92100,0,-15
1,125,126,15,2,50,-1,-1,92000,0,-15
1,125,126,15,2,50,-1,-1,91900,0,-15
1,125,125,15,2,50,0,0,91900,1,50
1,125,125,15,2,50,0,0,91900,0,0
1,125,125,15,2,50,0,0,91900,0,0
1,125,125,15,2,50,0,0,91900,0,0
1,125,125,15,2,50,0,0,91900,0,0
1,125,124,15,2,50,1,1,92000,1,65
1,125,124,15,2,50,1,1,92100,0,15
1,125,124,15,2,50,1,1,92200,0,15
1,125,124,15,2,50,1,1,92300,0,15
1,125,125,15,2,50,0,0,92300,-1,-50
1,125,126,15,2,50,-1,-1,92200,-1,-65
1,125,127,15,2,50,-2,-2,92000,-1,-80
1,125,128,15,2,50,-3,-3,91700,-1,-95
1,125,128,15,2,50,-3,-3,91400,0,-45
1,125,128,15,2,50,-3,-3,91100,0,-45
1,125,128,15,2,50,-3,-3,90800,0,-45
1,125,128,15,2,50,-3,-3,90500,0,-45
1,125,127,15,2,50,-2,-2,90300,1,20
1,125,126,15,2,50,-1,-1,90200,1,35
1,125,126,15,2,50,-1,-1,90100,0,-15
1,125,126,15,2,50,-1,-1,90000,0,-15
