ProcessRunning,SP,PV,Kp,Ki,Kd,Error,PError,Integral,Derivative,Output
1,120,25,240,90,150,95,95,95,95,37051
1,120,25,240,90,150,95,95,190,0,22802
1,120,26,240,90,150,94,94,284,-1,22413
1,120,26,240,90,150,94,94,378,0,22564
1,120,28,240,90,150,92,92,470,-2,21785
1,120,29,240,90,150,91,91,561,-1,21696
1,120,31,240,90,150,89,89,650,-2,21067
1,120,32,240,90,150,88,88,738,-1,20978
1,120,35,240,90,150,85,85,823,-3,19959
1,120,37,240,90,150,83,83,906,-2,19630
1,120,38,240,90,150,82,82,988,-1,19540
1,120,41,240,90,150,79,79,1067,-3,18521
1,120,42,240,90,150,78,78,1145,-1,18582
1,120,45,240,90,150,75,75,1220,-3,17563
1,120,48,240,90,150,72,72,1292,-3,16844
1,120,50,240,90,150,70,70,1362,-2,16515
1,120,52,240,90,150,68,68,1430,-2,16035
1,120,55,240,90,150,65,65,1495,-3,15166
1,120,57,240,90,150,63,63,1558,-2,14837
1,120,59,240,90,150,61,61,1619,-2,14357
1,120,61,240,90,150,59,59,1678,-2,13878
1,120,63,240,90,150,57,57,1735,-2,13399
1,120,66,240,90,150,54,54,1789,-3,12529
1,120,68,240,90,150,52,52,1841,-2,12200
1,120,70,240,90,150,50,50,1891,-2,11721
1,120,72,240,90,150,48,48,1939,-2,11241
1,120,75,240,90,150,45,45,1984,-3,10372
1,120,77,240,90,150,43,43,2027,-2,10042
1,120,79,240,90,150,41,41,2068,-2,9562
1,120,81,240,90,150,39,39,2107,-2,9083
1,120,83,240,90,150,37,37,2144,-2,8603
1,120,86,240,90,150,34,34,2178,-3,7734
1,120,88,240,90,150,32,32,2210,-2,7404
1,120,90,240,90,150,30,30,2240,-2,6924
1,120,92,240,90,150,28,28,2268,-2,6445
1,120,95,240,90,150,25,25,2293,-3,5575
1,120,97,240,90,150,23,23,2316,-2,5245
1,120,99,240,90,150,21,21,2337,-2,4765
1,120,101,240,90,150,19,19,2356,-2,4286
1,120,103,240,90,150,17,17,2373,-2,3806
1,120,105,240,90,150,15,15,2388,-2,3326
1,120,107,240,90,150,13,13,2401,-2,2846
1,120,109,240,90,150,11,11,2412,-2,2366
1,120,111,240,90,150,9,9,2421,-2,1886
1,120,114,240,90,150,6,6,2427,-3,1016
1,120,116,240,90,150,4,4,2431,-2,687
1,120,117,240,90,150,3,3,2434,-1,597
1,120,119,240,90,150,1,1,2435,-2,-33
1,120,121,240,90,150,-1,-1,2434,-2,-513
1,120,123,240,90,150,-3,-3,2431,-2,-993
