ProcessRunning,SP,PV,Kp,Ki,Kd,Error,PError,Integral,Derivative,Output
1,150,25,180,5,80,125,125,125,125,32525
1,150,25,180,5,80,125,125,250,0,22550
1,150,26,180,5,80,124,124,374,-1,22314
1,150,26,180,5,80,124,124,498,0,22419
1,150,27,180,5,80,123,123,621,-1,22184
1,150,29,180,5,80,121,121,742,-2,21768
1,150,30,180,5,80,120,120,862,-1,21692
1,150,33,180,5,80,117,117,979,-3,21015
1,150,35,180,5,80,115,115,1094,-2,20758
1,150,37,180,5,80,113,113,1207,-2,20421
1,150,39,180,5,80,111,111,1318,-2,20083
1,150,42,180,5,80,108,108,1426,-3,19485
1,150,44,180,5,80,106,106,1532,-2,19226
1,150,46,180,5,80,104,104,1636,-2,18887
1,150,48,180,5,80,102,102,1738,-2,18547
1,150,50,180,5,80,100,100,1838,-2,18207
1,150,53,180,5,80,97,97,1935,-3,17607
1,150,55,180,5,80,95,95,2030,-2,17346
1,150,58,180,5,80,92,92,2122,-3,16744
1,150,60,180,5,80,90,90,2212,-2,16482
1,150,63,180,5,80,87,87,2299,-3,15879
1,150,65,180,5,80,85,85,2384,-2,15616
1,150,67,180,5,80,83,83,2467,-2,15273
1,150,69,180,5,80,81,81,2548,-2,14929
1,150,72,180,5,80,78,78,2626,-3,14325
1,150,75,180,5,80,75,75,2701,-3,13800
1,150,77,180,5,80,73,73,2774,-2,13534
1,150,80,180,5,80,70,70,2844,-3,12928
1,150,82,180,5,80,68,68,2912,-2,12662
1,150,85,180,5,80,65,65,2977,-3,12055
1,150,87,180,5,80,63,63,3040,-2,11788
1,150,89,180,5,80,61,61,3101,-2,11440
1,150,92,180,5,80,58,58,3159,-3,10831
1,150,94,180,5,80,56,56,3215,-2,10563
1,150,97,180,5,80,53,53,3268,-3,9953
1,150,99,180,5,80,51,51,3319,-2,9683
1,150,101,180,5,80,49,49,3368,-2,9333
1,150,103,180,5,80,47,47,3415,-2,8983
1,150,106,180,5,80,44,44,3459,-3,8371
1,150,108,180,5,80,42,42,3501,-2,8100
1,150,110,180,5,80,40,40,3541,-2,7748
1,150,112,180,5,80,38,38,3579,-2,7395
1,150,114,180,5,80,36,36,3615,-2,7043
1,150,117,180,5,80,33,33,3648,-3,6429
