ProcessRunning,SP,PV,Kp,Ki,Kd,Error,PError,Integral,Derivative,Output
1,120,29,240,90,150,91,91,91,91,35491
1,120,29,240,90,150,91,91,182,0,21842
1,120,29,240,90,150,91,91,273,0,21843
1,120,30,240,90,150,90,90,363,-1,21454
1,120,31,240,90,150,89,89,452,-1,21215
1,120,33,240,90,150,87,87,539,-2,20585
1,120,35,240,90,150,85,85,624,-2,20106
1,120,36,240,90,150,84,84,708,-1,20017
1,120,38,240,90,150,82,82,790,-2,19388
1,120,40,240,90,150,80,80,870,-2,18909
1,120,43,240,90,150,77,77,947,-3,18040
1,120,45,240,90,150,75,75,1022,-2,17711
1,120,47,240,90,150,73,73,1095,-2,17232
1,120,49,240,90,150,71,71,1166,-2,16752
1,120,52,240,90,150,68,68,1234,-3,15883
1,120,54,240,90,150,66,66,1300,-2,15554
1,120,56,240,90,150,64,64,1364,-2,15075
1,120,58,240,90,150,62,62,1426,-2,14595
1,120,60,240,90,150,60,60,1486,-2,14116
1,120,63,240,90,150,57,57,1543,-3,13247
1,120,65,240,90,150,55,55,1598,-2,12917
1,120,67,240,90,150,53,53,1651,-2,12438
1,120,69,240,90,150,51,51,1702,-2,11958
1,120,72,240,90,150,48,48,1750,-3,11089
1,120,74,240,90,150,46,46,1796,-2,10759
1,120,76,240,90,150,44,44,1840,-2,10280
1,120,79,240,90,150,41,41,1881,-3,9410
1,120,81,240,90,150,39,39,1920,-2,9081
1,120,84,240,90,150,36,36,1956,-3,8211
1,120,86,240,90,150,34,34,1990,-2,7882
1,120,88,240,90,150,32,32,2022,-2,7402
1,120,90,240,90,150,30,30,2052,-2,6922
1,120,93,240,90,150,27,27,2079,-3,6053
1,120,95,240,90,150,25,25,2104,-2,5723
1,120,97,240,90,150,23,23,2127,-2,5243
1,120,99,240,90,150,21,21,2148,-2,4763
1,120,101,240,90,150,19,19,2167,-2,4284
1,120,104,240,90,150,16,16,2183,-3,3414
1,120,105,240,90,150,15,15,2198,-1,3474
1,120,107,240,90,150,13,13,2211,-2,2844
1,120,109,240,90,150,11,11,2222,-2,2364
1,120,112,240,90,150,8,8,2230,-3,1494
1,120,114,240,90,150,6,6,2236,-2,1164
1,120,116,240,90,150,4,4,2240,-2,684
1,120,118,240,90,150,2,2,2242,-2,204
1,120,119,240,90,150,1,1,2243,-1,114
1,120,122,240,90,150,-2,-2,2241,-3,-906
1,120,124,240,90,150,-4,-4,2237,-2,-1236
1,120,126,240,90,150,-6,-6,2231,-2,-1716
1,120,127,240,90,150,-7,-7,2224,-1,-1806
1,120,128,240,90,150,-8,-8,2216,-1,-2046
1,120,128,240,90,150,-8,-8,2208,0,-1896
1,120,129,240,90,150,-9,-9,2199,-1,-2286
1,120,128,240,90,150,-8,-8,2191,1,-1746
1,120,128,240,90,150,-8,-8,2183,0,-1896
1,120,128,240,90,150,-8,-8,2175,0,-1896
1,120,127,240,90,150,-7,-7,2168,1,-1506
1,120,127,240,90,150,-7,-7,2161,0,-1656
1,120,126,240,90,150,-6,-6,2155,1,-1267
1,120,126,240,90,150,-6,-6,2149,0,-1417
1,120,125,240,90,150,-5,-5,2144,1,-1027
1,120,124,240,90,150,-4,-4,2140,1,-787
1,120,124,240,90,150,-4,-4,2136,0,-937
1,120,123,240,90,150,-3,-3,2133,1,-547
1,120,122,240,90,150,-2,-2,2131,1,-307
1,120,121,240,90,150,-1,-1,2130,1,-67
1,120,121,240,90,150,-1,-1,2129,0,-217
1,120,120,240,90,150,0,0,2129,1,173
1,120,119,240,90,150,1,1,2130,1,413
1,120,119,240,90,150,1,1,2131,0,263
1,120,119,240,90,150,1,1,2132,0,263
1,120,119,240,90,150,1,1,2133,0,263
1,120,120,240,90,150,0,0,2133,-1,-127
1,120,121,240,90,150,-1,-1,2132,-1,-367
1,120,122,240,90,150,-2,-2,2130,-1,-607
1,120,123,240,90,150,-3,-3,2127,-1,-847
1,120,123,240,90,150,-3,-3,2124,0,-697
1,120,123,240,90,150,-3,-3,2121,0,-697
1,120,123,240,90,150,-3,-3,2118,0,-697
1,120,122,240,90,150,-2,-2,2116,1,-307
1,120,122,240,90,150,-2,-2,2114,0,-457
1,120,121,240,90,150,-1,-1,2113,1,-67
1,120,120,240,90,150,0,0,2113,1,173
1,120,120,240,90,150,0,0,2113,0,23
1,120,119,240,90,150,1,1,2114,1,413
1,120,119,240,90,150,1,1,2115,0,263
1,120,120,240,90,150,0,0,2115,-1,-127
1,120,121,240,90,150,-1,-1,2114,-1,-367
1,120,121,240,90,150,-1,-1,2113,0,-217
1,120,122,240,90,150,-2,-2,2111,-1,-607
1,120,122,240,90,150,-2,-2,2109,0,-457
1,120,122,240,90,150,-2,-2,2107,0,-457
1,120,122,240,90,150,-2,-2,2105,0,-457
1,120,121,240,90,150,-1,-1,2104,1,-67
1,120,121,240,90,150,-1,-1,2103,0,-217
1,120,120,240,90,150,0,0,2103,1,173
1,120,119,240,90,150,1,1,2104,1,413
1,120,119,240,90,150,1,1,2105,0,263
1,120,119,240,90,150,1,1,2106,0,263
1,120,119,240,90,150,1,1,2107,0,263
1,120,120,240,90,150,0,0,2107,-1,-127
