ProcessRunning,SP,PV,Kp,Ki,Kd,Error,PError,Integral,Derivative,Output
1,125,25,15,15,0,100,100,10000,100,1500
1,125,25,15,15,0,100,100,20000,0,1500
1,125,25,15,15,0,100,100,30000,0,1500
1,125,26,15,15,0,99,99,39900,-1,1485
1,125,28,15,15,0,97,97,49600,-2,1455
1,125,31,15,15,0,94,94,59000,-3,1410
1,125,33,15,15,0,92,92,68200,-2,1380
1,125,36,15,15,0,89,89,77100,-3,1335
1,125,38,15,15,0,87,87,85800,-2,1305
1,125,41,15,15,0,84,84,94200,-3,1260
1,125,45,15,15,0,80,80,102200,-4,1200
1,125,48,15,15,0,77,77,109900,-3,1155
1,125,51,15,15,0,74,74,117300,-3,1110
1,125,53,15,15,0,72,72,124500,-2,1080
1,125,56,15,15,0,69,69,131400,-3,1035
1,125,61,15,15,0,64,64,137800,-5,960
1,125,64,15,15,0,61,61,143900,-3,915
1,125,66,15,15,0,59,59,149800,-2,885
1,125,69,15,15,0,56,56,155400,-3,840
1,125,73,15,15,0,52,52,160600,-4,780
1,125,76,15,15,0,49,49,165500,-3,735
1,125,79,15,15,0,46,46,170100,-3,690
1,125,81,15,15,0,44,44,174500,-2,660
1,125,84,15,15,0,41,41,178600,-3,615
1,125,88,15,15,0,37,37,182300,-4,555
1,125,90,15,15,0,35,35,185800,-2,525
1,125,93,15,15,0,32,32,189000,-3,480
1,125,96,15,15,0,29,29,191900,-3,435
1,125,99,15,15,0,26,26,194500,-3,390
1,125,102,15,15,0,23,23,196800,-3,345
1,125,104,15,15,0,21,21,198900,-2,315
1,125,107,15,15,0,18,18,200700,-3,270
1,125,109,15,15,0,16,16,202300,-2,240
1,125,112,15,15,0,13,13,203600,-3,195
1,125,115,15,15,0,10,10,204600,-3,150
1,125,117,15,15,0,8,8,205400,-2,120
1,125,119,15,15,0,6,6,206000,-2,90
1,125,122,15,15,0,3,3,206300,-3,45
1,125,124,15,15,0,1,1,206400,-2,15
1,125,126,15,15,0,-1,-1,206300,-2,-15
1,125,129,15,15,0,-4,-4,205900,-3,-60
1,125,130,15,15,0,-5,-5,205400,-1,-75
1,125,132,15,15,0,-7,-7,204700,-2,-105
1,125,133,15,15,0,-8,-8,203900,-1,-120
1,125,133,15,15,0,-8,-8,203100,0,-120
1,125,133,15,15,0,-8,-8,202300,0,-120
1,125,133,15,15,0,-8,-8,201500,0,-120
1,125,132,15,15,0,-7,-7,200800,1,-105
1,125,132,15,15,0,-7,-7,200100,0,-105
1,125,131,15,15,0,-6,-6,199500,1,-90
1,125,130,15,15,0,-5,-5,199000,1,-75
1,125,129,15,15,0,-4,-4,198600,1,-60
1,125,129,15,15,0,-4,-4,198200,0,-60
1,125,128,15,15,0,-3,-3,197900,1,-45
1,125,127,15,15,0,-2,-2,197700,1,-30
1,125,126,15,15,0,-1,-1,197600,1,-15
1,125,125,15,15,0,0,0,197600,1,0
1,125,124,15,15,0,1,1,197700,1,15
1,125,124,15,15,0,1,1,197800,0,15
1,125,123,15,15,0,2,2,198000,1,30
1,125,123,15,15,0,2,2,198200,0,30
1,125,123,15,15,0,2,2,198400,0,30
1,125,124,15,15,0,1,1,198500,-1,15
1,125,126,15,15,0,-1,-1,198400,-2,-15
1,125,128,15,15,0,-3,-3,198100,-2,-45
1,125,129,15,15,0,-4,-4,197700,-1,-60
1,125,130,15,15,0,-5,-5,197200,-1,-75
1,125,130,15,15,0,-5,-5,196700,0,-75
1,125,130,15,15,0,-5,-5,196200,0,-75
1,125,130,15,15,0,-5,-5,195700,0,-75
1,125,130,15,15,0,-5,-5,195200,0,-75
1,125,129,15,15,0,-4,-4,194800,1,-60
1,125,128,15,15,0,-3,-3,194500,1,-45
1,125,127,15,15,0,-2,-2,194300,1,-30
1,125,126,15,15,0,-1,-1,194200,1,-15
1,125,126,15,15,0,-1,-1,194100,0,-15
1,125,125,15,15,0,0,0,194100,1,0
1,125,124,15,15,0,1,1,194200,1,15
1,125,123,15,15,0,2,2,194400,1,30
1,125,122,15,15,0,3,3,194700,1,45
1,125,122,15,15,0,3,3,195000,0,45
1,125,123,15,15,0,2,2,195200,-1,30
1,125,124,15,15,0,1,1,195300,-1,15
1,125,125,15,15,0,0,0,195300,-1,0
1,125,127,15,15,0,-2,-2,195100,-2,-30
1,125,128,15,15,0,-3,-3,194800,-1,-45
1,125,129,15,15,0,-4,-4,194400,-1,-60
1,125,130,15,15,0,-5,-5,193900,-1,-75
1,125,130,15,15,0,-5,-5,193400,0,-75
1,125,130,15,15,0,-5,-5,192900,0,-75
1,125,129,15,15,0,-4,-4,192500,1,-60
1,125,128,15,15,0,-3,-3,192200,1,-45
1,125,128,15,15,0,-3,-3,191900,0,-45
1,125,127,15,15,0,-2,-2,191700,1,-30
1,125,126,15,15,0,-1,-1,191600,1,-15
1,125,125,15,15,0,0,0,191600,1,0
1,125,124,15,15,0,1,1,191700,1,15
1,125,123,15,15,0,2,2,191900,1,30
1,125,123,15,15,0,2,2,192100,0,30
1,125,123,15,15,0,2,2,192300,0,30
1,125,124,15,15,0,1,1,192400,-1,15
1,125,125,15,15,0,0,0,192400,-1,0
